Run on (4 X 3600 MHz CPU s)
2017-11-06 14:19:04
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_integer_index<int>/134217728",6,1.27244e+08,1.26346e+08,ns,,,,,
"BM_integer_index<int>/134217728",6,1.27633e+08,1.2674e+08,ns,,,,,
"BM_integer_index<int>/134217728",6,1.27527e+08,1.26615e+08,ns,,,,,
"BM_integer_index<int>/134217728",6,1.27181e+08,1.26271e+08,ns,,,,,
"BM_integer_index<int>/134217728",6,1.27928e+08,1.27015e+08,ns,,,,,
"BM_integer_index<int>/134217728",6,1.28648e+08,1.27688e+08,ns,,,,,
"BM_integer_index<int>/134217728",6,1.27933e+08,1.27012e+08,ns,,,,,
"BM_integer_index<int>/134217728",6,1.2808e+08,1.27163e+08,ns,,,,,
"BM_integer_index<int>/134217728",6,1.28031e+08,1.27112e+08,ns,,,,,
"BM_integer_index<int>/134217728",6,1.27174e+08,1.26277e+08,ns,,,,,
"BM_integer_index<int>/134217728_mean",6,1.27738e+08,1.26824e+08,ns,,,,,
"BM_integer_index<int>/134217728_median",6,1.27781e+08,1.26876e+08,ns,,,,,
"BM_integer_index<int>/134217728_stddev",6,475409,459639,ns,,,,,
"BM_integer_index<float>/134217728",6,1.31051e+08,1.30087e+08,ns,,,,,
"BM_integer_index<float>/134217728",6,1.27742e+08,1.26821e+08,ns,,,,,
"BM_integer_index<float>/134217728",6,1.28301e+08,1.27381e+08,ns,,,,,
"BM_integer_index<float>/134217728",6,1.28577e+08,1.27578e+08,ns,,,,,
"BM_integer_index<float>/134217728",6,1.28583e+08,1.27677e+08,ns,,,,,
"BM_integer_index<float>/134217728",6,1.28221e+08,1.2732e+08,ns,,,,,
"BM_integer_index<float>/134217728",6,1.29162e+08,1.28255e+08,ns,,,,,
"BM_integer_index<float>/134217728",6,1.27858e+08,1.26959e+08,ns,,,,,
"BM_integer_index<float>/134217728",6,1.28278e+08,1.27373e+08,ns,,,,,
"BM_integer_index<float>/134217728",6,1.28857e+08,1.27944e+08,ns,,,,,
"BM_integer_index<float>/134217728_mean",6,1.28663e+08,1.2774e+08,ns,,,,,
"BM_integer_index<float>/134217728_median",6,1.28439e+08,1.2748e+08,ns,,,,,
"BM_integer_index<float>/134217728_stddev",6,941425,927457,ns,,,,,
"BM_range_based<int>/134217728",6,1.29117e+08,1.28202e+08,ns,,,,,
"BM_range_based<int>/134217728",6,1.29516e+08,1.286e+08,ns,,,,,
"BM_range_based<int>/134217728",6,1.28581e+08,1.27676e+08,ns,,,,,
"BM_range_based<int>/134217728",6,1.29562e+08,1.2864e+08,ns,,,,,
"BM_range_based<int>/134217728",6,1.28632e+08,1.27695e+08,ns,,,,,
"BM_range_based<int>/134217728",6,1.28236e+08,1.27312e+08,ns,,,,,
"BM_range_based<int>/134217728",6,1.28254e+08,1.27328e+08,ns,,,,,
"BM_range_based<int>/134217728",6,1.28215e+08,1.27289e+08,ns,,,,,
"BM_range_based<int>/134217728",6,1.28407e+08,1.27466e+08,ns,,,,,
"BM_range_based<int>/134217728",6,1.2934e+08,1.28412e+08,ns,,,,,
"BM_range_based<int>/134217728_mean",6,1.28786e+08,1.27862e+08,ns,,,,,
"BM_range_based<int>/134217728_median",6,1.28606e+08,1.27685e+08,ns,,,,,
"BM_range_based<int>/134217728_stddev",6,544875,548266,ns,,,,,
"BM_range_based<float>/134217728",5,1.28719e+08,1.27794e+08,ns,,,,,
"BM_range_based<float>/134217728",5,1.28732e+08,1.27807e+08,ns,,,,,
"BM_range_based<float>/134217728",5,1.28817e+08,1.27884e+08,ns,,,,,
"BM_range_based<float>/134217728",5,1.28527e+08,1.27606e+08,ns,,,,,
"BM_range_based<float>/134217728",5,1.2808e+08,1.27158e+08,ns,,,,,
"BM_range_based<float>/134217728",5,1.28934e+08,1.27968e+08,ns,,,,,
"BM_range_based<float>/134217728",5,1.28326e+08,1.27422e+08,ns,,,,,
"BM_range_based<float>/134217728",5,1.28288e+08,1.27381e+08,ns,,,,,
"BM_range_based<float>/134217728",5,1.29679e+08,1.2876e+08,ns,,,,,
"BM_range_based<float>/134217728",5,1.28725e+08,1.27812e+08,ns,,,,,
"BM_range_based<float>/134217728_mean",5,1.28683e+08,1.27759e+08,ns,,,,,
"BM_range_based<float>/134217728_median",5,1.28722e+08,1.27801e+08,ns,,,,,
"BM_range_based<float>/134217728_stddev",5,441105,435576,ns,,,,,
